word,lemma,frequency
history,history,69119
blue,blue,68839
near,near,68790
broke,break,68629
station,station,68571
seriously,seriously,68524
forever,forever,68510
david,david,68505
frank,frank,68472
except,except,68440
thinks,think,68354
message,message,68305
entire,entire,68282
joe,joe,68244
table,table,67702
talked,talk,67666
across,across,67595
rock,rock,67361
lovely,lovely,67236
handle,handle,67089
middle,middle,66734
buddy,buddy,66718
paid,pay,66526
protect,protect,66508
using,use,66503
floor,floor,66456
ran,run,66177
swear,swear,66157
spend,spend,66119
situation,situation,66029
ring,ring,66018
anywhere,anywhere,65981
dangerous,dangerous,65974
bill,bill,65959
york,york,65880
army,army,65795
lead,lead,65756
bought,buy,65752
finished,finish,65659
fair,fair,65474
sun,sun,65448
letter,letter,65448
fool,fool,65432
attention,attention,65421
club,club,65275
simple,simple,65090
interesting,interesting,65082
space,space,64991
test,test,64969
box,box,64788
group,group,64761
single,single,64614
sitting,sit,64521
marriage,marriage,64465
join,join,64456
fear,fear,64352
peace,peace,64262
forgot,forget,64169
force,force,63737
short,short,63714
normal,normal,63676
charlie,charlie,63672
present,present,63307
enjoy,enjoy,63294
mike,mike,63219
crime,crime,63084
horse,horse,62923
ground,ground,62860
american,american,62835
count,count,62763
area,area,62755
charge,charge,62746
honor,honor,62722
lunch,lunch,62582
miles,mile,62523
radio,radio,62502
idiot,idiot,62357
ball,ball,62325
surprise,surprise,62170
paper,paper,62166
key,key,62153
boat,boat,62148
quickly,quickly,62072
gold,gold,61935
bar,bar,61927
fish,fish,61813
mark,mark,61805
tom,tom,61785
wearing,wear,61749
crying,cry,61698
accident,accident,61671
government,government,61646
eight,eight,61400
fell,fall,61371
cover,cover,61052
certain,certain,61050
interested,interested,61029
deep,deep,60938
star,star,60903
sea,sea,60812
agree,agree,60716
problems,problem,60633
detective,detective,60633
prison,prison,60581
major,major,60560
stick,stick,60548
offer,offer,60444
difficult,difficult,60404
smart,smart,60397
personal,personal,60381
record,record,60360
stopped,stop,60200
hide,hide,60133
whether,whether,59993
bank,bank,59962
trip,trip,59906
relax,relax,59715
america,america,59703
public,public,59687
list,list,59557
afternoon,afternoon,59466
brain,brain,59464
fix,fix,59349
bastard,bastard,59332
proud,proud,59309
tea,tea,59277
service,service,59277
screaming,scream,59151
forward,forward,59064
angry,angry,58748
park,park,58713
soul,soul,58677
fighting,fighting,58657
peter,peter,58654
rich,rich,58651
agent,agent,58608
blow,blow,58531
paul,paul,58529
dress,dress,58429
mary,mary,58366
missed,miss,58324
scene,scene,58017
killing,kill,57890
standing,standing,57866
saved,save,57667
mm,mm,57659
respect,respect,57647
killer,killer,57555
ice,ice,57545
mess,mess,57542
tough,tough,57486
feels,feel,57388
church,church,57254
sad,sad,57179
cell,cell,57033
drunk,drunk,56919
share,share,56854
camera,camera,56757
mm-hmm,mm-hmm,56720
within,within,56709
card,card,56659
fly,fly,56595
ben,ben,56502
girlfriend,girlfriend,56475
laugh,laugh,56460
smell,smell,56399
broken,break,56391
mum,mum,56281
honest,honest,56234
often,often,55998
starting,start,55979
calls,call,55940
spent,spend,55836
third,third,55750
english,english,55677
visit,visit,55638
mama,mama,55372
judge,judge,55336
window,window,55285
hungry,hungry,55259
dare,dare,55131
relationship,relationship,55128
moved,move,55096
prove,prove,55079
private,private,54978
wall,wall,54813
seat,seat,54615
i-i,i-i,54460
position,position,54449
lieutenant,lieutenant,54321
realize,realize,54306
lt,lt,54305
especially,especially,54148
machine,machine,54140
walking,walking,54115
art,art,54096
pleasure,pleasure,54085
bloody,bloody,54026
college,college,53933
french,french,53911
involved,involve,53718
cry,cry,53674
became,become,53603
lived,live,53550
impossible,impossible,53527
obviously,obviously,53527
neither,neither,53452
accept,accept,53291
boyfriend,boyfriend,53124
besides,besides,53110
queen,queen,53006
teacher,teacher,53004
cops,cop,52981
sake,sake,52827
loves,love,52751
carry,carry,52734
teach,teach,52731
apartment,apartment,52714
upset,upset,52565
green,green,52557
la,la,52546
liked,like,52485
cute,cute,52240
evil,evil,52175
professor,professor,52026
contact,contact,51750
joke,joke,51728
cop,cop,51701
huge,huge,51581
holy,holy,51499
store,store,51492
jail,jail,51429
likes,like,51334
lawyer,lawyer,51332
doubt,doubt,51287
continue,continue,51279
appreciate,appreciate,51258
cat,cat,51175
shop,shop,50976
driving,drive,50866
congratulations,congratulation,50847
wrote,write,50800
village,village,50792
quit,quit,50649
field,field,50617
james,jame,50562
wine,wine,50522
decision,decision,50446
south,south,50364
sleeping,sleeping,50357
slow,slow,50276
laughter,laughter,50196
island,island,50107
glass,glass,50103
beginning,begin,50069
cash,cash,49976
dying,die,49963
hundred,hundred,49823
whose,whose,49808
difference,difference,49743
plane,plane,49704
push,push,49690
continues,continue,49684
mmm,mmm,49655
singing,sing,49144
eating,eat,49119
north,north,49107
mrs,mrs,49087
tree,tree,49017
madam,madam,48931
gift,gift,48891
truck,truck,48807
putting,put,48797
bear,bear,48674
board,board,48666
grab,grab,48653
beer,beer,48641
stuck,stuck,48497
magic,magic,48484
support,support,48351
rules,rule,48345
grunts,grunt,48253
partner,partner,48247
reach,reach,48221
wind,wind,48063
colonel,colonel,48036
max,max,47938
immediately,immediately,47938
seconds,second,47936
thousand,thousand,47934
gives,give,47900
experience,experience,47824
cheers,cheer,47819
victim,victim,47739
upon,upon,47699
computer,computer,47672
christ,christ,47650
planet,planet,47564
promised,promise,47559
bus,bus,47534
henry,henry,47491
dirty,dirty,47462
search,search,47439
staying,stay,47241
dreams,dream,47210
arrest,arrest,46994
holding,hold,46938
suddenly,suddenly,46833
usually,usually,46770
lots,lot,46570
shoes,shoe,46490
er,er,46383
jump,jump,46358
rid,rid,46242
yo,yo,46233
knock,knock,46228
owe,owe,46153
harry,harry,46028
grow,grow,46010
worst,bad,45845
river,river,45834
aunt,aunt,45834
patient,patient,45828
kitchen,kitchen,45812
aah,aah,45774
fat,fat,45737
passed,pass,45678
final,final,45614
summer,summer,45611
bob,bob,45572
listening,listen,45564
escape,escape,45553
everywhere,everywhere,45430
moon,moon,45422
arms,arm,45390
turns,turn,45374
address,address,45332
ow,ow,45251
match,match,45223
gasps,gasp,45214
grand,grand,45183
yep,yep,45096
shh,shh,44939
nervous,nervous,44913
de,de,44903
choose,choose,44853
themselves,themselves,44832
decide,decide,44806
mate,mate,44782
drinking,drinking,44770
press,press,44624
bother,bother,44619
foot,foot,44588
hadn,hadn,44545
blame,blame,44534
crap,crap,44529
drugs,drug,44516
type,type,44489
rings,ring,44331
mission,mission,44289
named,name,44264
heaven,heaven,44231
'ii,'ii,44152
picked,pick,44114
paris,paris,44110
race,race,44089
risk,risk,44005
books,book,43897
further,further,43839
danny,danny,43801
action,action,43798
allowed,allow,43797
orders,order,43786
learned,learn,43716
price,price,43671
arrived,arrive,43640
nick,nick,43636
otherwise,otherwise,43596
pictures,picture,43550
fit,fit,43502
smoke,smoke,43421
favor,favor,43370
played,play,43357
notice,notice,43315
awesome,awesome,43298
smile,smile,43295
director,director,43294
guard,guard,43270
begin,begin,43130
spot,spot,43079
surprised,surprise,43018
innocent,innocent,42962
narrator,narrator,42916
herself,herself,42884
london,london,42880
feelings,feeling,42843
enemy,enemy,42799
battle,battle,42785
ourselves,ourselves,42731
alex,alex,42710
dollars,dollar,42705
allow,allow,42649
nine,nine,42538
gay,gay,42536
department,department,42487
guilty,guilty,42459
apart,apart,42417
earlier,early,42407
duty,duty,42329
jim,jim,42323
suit,suit,42315
bell,bell,42299
west,west,42219
legs,leg,42152
hero,hero,42093
destroy,destroy,42078
stage,stage,42074
bunch,bunch,42064
according,accord,42026
chicken,chicken,41996
bigger,big,41873
grunting,grunt,41866
low,low,41837
helping,help,41832
admit,admit,41817
closed,close,41801
names,name,41772
witness,witness,41753
upstairs,upstairs,41732
arm,arm,41726
steal,steal,41720
jimmy,jimmy,41706
kick,kick,41697
twice,twice,41693
cross,cross,41692
ways,way,41675
sergeant,sergeant,41650
indeed,indeed,41591
gas,gas,41535
keeping,keep,41371
energy,energy,41290
pregnant,pregnant,41290
waste,waste,41240
helped,help,41235
fired,fire,41193
favorite,favorite,41153
tony,tony,41145
taste,taste,41080
locked,lock,41079
places,place,41041
writing,writing,41035
adam,adam,41028
brothers,brother,41025
starts,start,41012
prince,prince,40914
form,form,40833
sold,sell,40796
silly,silly,40758
mention,mention,40753
build,build,40738
throat,throat,40719
hole,hole,40658
figured,figure,40590
track,track,40578
ringing,ring,40518
lock,lock,40462
leg,leg,40449
above,above,40388
hiding,hide,40387
steve,steve,40377
seemed,seem,40343
breakfast,breakfast,40285
engine,engine,40282
written,write,40246
complete,complete,40210
video,video,40195
applause,applause,40194
however,however,40098
pressure,pressure,40065
fresh,fresh,40049
weapon,weapon,40033
sky,sky,39986
ms.,ms.,39904
stole,steal,39897
study,study,39882
burn,burn,39874
reading,reading,39869
crowd,crowd,39856
treat,treat,39803
roll,roll,39791
double,double,39770
spirit,spirit,39556
danger,danger,39518
cost,cost,39485
empty,empty,39482
level,level,39476
memory,memory,39331
itself,itself,39330
acting,acting,39326
interest,interest,39252
nose,nose,39194
plans,plan,39142
following,follow,39136
bathroom,bathroom,39095
built,build,39041
closer,close,39022
ray,ray,38995
sarah,sarah,38933
band,band,38918
groans,groan,38867
apparently,apparently,38705
excited,excited,38640
richard,richard,38625
losing,lose,38585
animals,animal,38518
flight,flight,38504
nature,nature,38496
raise,raise,38449
pop,pop,38419
client,client,38407
bomb,bomb,38395
neck,neck,38371
suspect,suspect,38365
warm,warm,38355
extra,extra,38335
bottle,bottle,38229
van,van,38223
heavy,heavy,38220
mommy,mommy,38167
dogs,dog,38164
wild,wild,38162
ridiculous,ridiculous,38121
simply,simply,38100
lee,lee,38047
animal,animal,38036
showed,show,38007
billy,billy,37951
shooting,shooting,37914
keeps,keep,37914
camp,camp,37907
guns,gun,37893
medical,medical,37844
shame,shame,37793
hoping,hope,37769
whom,whom,37735
bird,bird,37711
majesty,majesty,37699
flowers,flower,37699
famous,famous,37634
asleep,asleep,37535
beauty,beauty,37515
driver,driver,37474
keys,key,37443
rain,rain,37417
awful,awful,37405
large,large,37373
local,local,37344
deserve,deserve,37283
goddamn,goddamn,37270
stone,stone,37203
jane,jane,37198
grace,grace,37180
consider,consider,37165
weekend,weekend,37115
wondering,wonder,37023
lay,lay,36984
plenty,plenty,36941
willing,willing,36938
pants,pants,36916
sweetheart,sweetheart,36907
skin,skin,36861
excellent,excellent,36849
asshole,asshole,36844
beach,beach,36841
faith,faith,36815
beg,beg,36807
fuckin,fuckin,36802
responsible,responsible,36781
military,military,36733
cheering,cheer,36723
opportunity,opportunity,36711
common,common,36698
bottom,bottom,36680
german,german,36610
whoever,whoever,36535
cook,cook,36531
walked,walk,36528
papers,paper,36502
justice,justice,36481
hall,hall,36354
commander,commander,36345
drug,drug,36316
main,main,36292
knife,knife,36197
devil,devil,36189
necessary,necessary,36124
although,although,36046
princess,princess,36046
lights,light,36039
flying,fly,36023
dick,dick,35996
rose,rose,35942
knowing,know,35876
